City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
124,Saint-Philippe,RE,2022-09-17 19:38:40,-21.3585,55.7679,69.39,83,39,13.58
125,Copiapo,CL,2022-09-17 19:38:40,-27.3667,-70.3333,56.89,34,0,9.44
126,Ca Mau,VN,2022-09-17 19:38:40,9.1769,105.15,76.98,92,91,3.96
127,Casablanca,MA,2022-09-17 19:38:41,33.5928,-7.6192,73.62,78,20,6.91
128,Atuona,PF,2022-09-17 19:38:41,-9.8,-139.0333,77.23,73,9,20.04
129,Kapaa,US,2022-09-17 19:38:41,22.0752,-159.319,82.38,77,0,5.01
130,Ikungi,TZ,2022-09-17 19:38:41,-5.1333,34.7667,66.43,48,11,12.03
131,Cortes,ES,2022-09-17 19:38:42,41.9395,-1.4396,71.65,37,90,11.99
132,Mandalgovi,MN,2022-09-17 19:38:42,45.7625,106.2708,39.6,61,100,11.21
133,Wasilla,US,2022-09-17 19:38:42,61.5814,-149.4394,59.65,66,100,8.05
134,Ribeira Grande,PT,2022-09-17 19:38:43,38.5167,-28.7,75.6,88,75,12.66
135,Hithadhoo,MV,2022-09-17 19:38:43,-0.6,73.0833,81.88,72,16,7.96
136,New Norfolk,AU,2022-09-17 19:34:14,-42.7826,147.0587,45.72,80,86,2.55
137,Yellowknife,CA,2022-09-17 19:38:43,62.456,-114.3525,48.72,81,75,11.5
138,Mwanga,TZ,2022-09-17 19:38:44,-4.8,38.2,67.98,81,8,2.71
139,Sorland,NO,2022-09-17 19:38:44,67.667,12.6934,51.66,76,99,29.37
140,Avarua,CK,2022-09-17 19:39:44,-21.2078,-159.775,77.05,78,0,12.66
141,Caravelas,BR,2022-09-17 19:39:45,-17.7125,-39.2481,67.46,85,100,13.71
142,Bluff,NZ,2022-09-17 19:39:45,-46.6,168.3333,43.32,80,100,9.8
143,Pisco,PE,2022-09-17 19:39:45,-13.7,-76.2167,68.05,64,0,8.05
144,Kalininsk,RU,2022-09-17 19:39:46,51.5,44.4758,57.36,60,100,1.01
145,Saskylakh,RU,2022-09-17 19:39:46,71.9167,114.0833,32.4,98,100,13.87
146,Mehamn,NO,2022-09-17 19:39:46,71.0357,27.8492,46.31,93,100,18.41
147,Ucluelet,CA,2022-09-17 19:39:47,48.9329,-125.5528,61.11,78,100,5.01
148,Labuhan,ID,2022-09-17 19:39:47,-6.8844,112.2051,77.14,79,100,8.79
149,Alice Springs,AU,2022-09-17 19:39:47,-23.7,133.8833,57.22,26,0,0.0
150,Vila Franca Do Campo,PT,2022-09-17 19:39:47,37.7167,-25.4333,75.61,86,9,6.49
151,Hovd,MN,2022-09-17 19:39:48,48.0056,91.6419,41.97,64,32,2.68
152,Ancud,CL,2022-09-17 19:39:48,-41.8697,-73.8203,49.23,55,29,3.85
153,Melilla,ES,2022-09-17 19:39:48,35.2937,-2.9383,75.4,83,20,3.44
154,Puerto Escondido,MX,2022-09-17 19:39:49,15.85,-97.0667,76.03,57,100,3.44
155,Itarema,BR,2022-09-17 19:39:49,-2.9248,-39.9167,80.24,73,49,17.38
156,Yelovo,RU,2022-09-17 19:39:49,57.0538,54.9207,59.65,94,100,13.33
157,Carnarvon,AU,2022-09-17 19:39:50,-24.8667,113.6333,64.94,80,1,16.46
158,Komsomolskiy,UZ,2022-09-17 19:35:51,40.4272,71.7189,66.92,48,17,9.22
159,Tecoanapa,MX,2022-09-17 19:39:50,16.5167,-98.75,76.57,94,100,10.6
160,Dustlik,UZ,2022-09-17 19:39:50,40.5247,68.0358,65.84,34,81,2.28
161,Cabo San Lucas,MX,2022-09-17 19:36:13,22.8909,-109.9124,92.17,58,20,9.22
162,Senno,RU,2022-09-17 19:39:51,59.5336,33.9167,49.26,94,99,9.62
163,Cockburn Town,TC,2022-09-17 19:39:51,21.4612,-71.1419,87.76,66,40,13.8
164,Mrakovo,RU,2022-09-17 19:39:51,52.7161,56.6244,57.09,95,100,10.6
165,Kaitangata,NZ,2022-09-17 19:39:51,-46.2817,169.8464,41.27,88,30,3.94
166,Padang,ID,2022-09-17 19:39:52,-0.9492,100.3543,74.95,95,100,1.52
167,Broome,US,2022-09-17 19:39:52,42.2506,-75.833,81.19,62,29,10.0
168,Nuuk,GL,2022-09-17 19:39:52,64.1835,-51.7216,50.61,93,75,18.41
169,Upernavik,GL,2022-09-17 19:38:37,72.7868,-56.1549,36.55,69,76,21.18
170,Khovu-Aksy,RU,2022-09-17 19:39:53,51.1333,93.6,35.94,88,75,1.25
171,Verkhoyansk,RU,2022-09-17 19:39:49,67.5447,133.385,30.7,67,42,8.03
172,Rodbyhavn,DK,2022-09-17 19:39:53,54.6544,11.352,52.11,79,100,21.25
173,Palmer,US,2022-09-17 19:36:06,42.1584,-72.3287,72.5,50,20,3.44
174,Leningradskiy,RU,2022-09-17 19:39:53,69.3833,178.4167,33.49,99,100,17.96
175,Cairns,AU,2022-09-17 19:39:54,-16.9167,145.7667,73.35,92,26,0.0
176,Chuy,UY,2022-09-17 19:39:54,-33.6971,-53.4616,63.05,66,61,13.98
177,Tuatapere,NZ,2022-09-17 19:38:37,-46.1333,167.6833,43.16,80,88,5.91
178,Portland,US,2022-09-17 19:38:43,45.5234,-122.6762,70.47,62,75,6.91
179,Xining,CN,2022-09-17 19:39:54,36.6167,101.7667,56.89,77,100,1.86
180,Sancti Spiritus,CU,2022-09-17 19:39:55,21.9297,-79.4425,88.12,64,97,7.74
181,Moffat,GB,2022-09-17 19:39:55,55.3323,-3.4454,45.3,94,84,4.76
182,Touros,BR,2022-09-17 19:39:55,-5.1989,-35.4608,78.87,72,50,12.62
183,Caloundra,AU,2022-09-17 19:40:56,-26.8,153.1333,57.13,89,0,7.78
184,Tolga,DZ,2022-09-17 19:40:56,34.7222,5.3785,92.21,24,56,7.58
185,Meulaboh,ID,2022-09-17 19:40:56,4.1363,96.1285,75.54,85,100,2.39
186,Taltal,CL,2022-09-17 19:40:57,-25.4,-70.4833,58.35,68,24,3.98
187,Tasiilaq,GL,2022-09-17 19:37:11,65.6145,-37.6368,39.36,96,100,16.73
188,Husavik,IS,2022-09-17 19:40:57,66.0449,-17.3389,45.66,71,88,5.48
189,Daru,PG,2022-09-17 19:40:57,-9.0763,143.2092,78.33,91,100,6.53
190,Senanga,ZM,2022-09-17 19:40:57,-16.1167,23.2667,71.11,26,0,4.07
191,Magdalena,PH,2022-09-17 19:40:58,14.1999,121.429,77.36,92,100,2.59
192,Alofi,NU,2022-09-17 19:40:58,-19.0595,-169.9187,73.29,94,11,4.61
193,Goderich,CA,2022-09-17 19:39:49,43.7501,-81.7165,78.91,65,36,9.22
194,Hambantota,LK,2022-09-17 19:40:58,6.1241,81.1185,78.55,80,100,15.01
195,Lazaro Cardenas,MX,2022-09-17 19:40:59,17.9583,-102.2,76.23,95,100,2.19
196,Bonavista,CA,2022-09-17 19:40:59,48.6499,-53.1147,52.57,78,100,22.62
197,General Roca,AR,2022-09-17 19:40:59,-39.0333,-67.5833,64.62,37,55,21.77
198,Karema,TZ,2022-09-17 19:40:59,-6.8205,30.4389,76.95,55,4,3.96
199,San Martin,AR,2022-09-17 19:41:00,-33.081,-68.4681,75.74,18,0,16.17
200,Comodoro Rivadavia,AR,2022-09-17 19:37:56,-45.8667,-67.5,51.66,35,20,10.36
201,Fougamou,GA,2022-09-17 19:41:00,-1.2154,10.5838,74.59,91,100,4.34
202,Pangai,TO,2022-09-17 19:41:00,-19.8,-174.35,76.86,79,7,13.2
203,Verkhnyaya Toyma,RU,2022-09-17 19:41:01,62.2349,44.9985,44.35,98,36,4.52
